Country,"Est. Revenue",Impressions,eCPM
"Sint Maarten (Dutch part)",0.000042,2,0.021
Kiribati,0.000036,1,0.036
Bolivia,0.000035,1,0.035
Mali,0.000032,1,0.032
"Saint Pierre and Miquelon",0.000025,1,0.025
"Marshall Islands",0.000023,1,0.023
"Cayman Islands",0.000021,2,0.0105
Jordan,0.000018,1,0.018
Morocco,0.000018,4,0.0045
"Saint Martin (French part)",0.000018,41,0.0004390243902439
Grenada,0.000017,12,0.0014166666666667
Serbia,0.000015,2,0.0075
"Cote D' Ivoire",0.000012,1,0.012
Gibraltar,0.000012,1,0.012
"Central African Republic",0.000008,1,0.008
Anguilla,0.000006,1,0.006
"South Sudan",0.000005,1,0.005
Nicaragua,0.000004,1,0.004
Venezuela,0.000004,1,0.004
"Virgin Islands, U.S.",0.000003,1,0.003
Iran,0.000002,1,0.002
Greenland,0.000001,1,0.001
Iraq,0,1,0
Algeria,0,2,0
